Code,Description,UID,#ISIC,PARENT #ISIC,Level No.,Level Description,Sections,Division,Group,Class,Used For Concordance ,"Matches to 
Concordance NACE","Matches to 
Concordance
(NAICS to ISIC)","Matches to 
Concordance
(ISIC to NAICS)","Matches to 
Concordance
(ISIC to NACE)","Not in
Concordance
(ISIC to NAICS)","Matches to 
Concordance
(ANZSIC)",Matched to NETVIEW,"Matches to 
Concordance
(ISIC to NACE)","Matches to 
Concordance
(ISIC to NAICS)","Matches to 
Concordance
(ISIC to ANZSIC)",
012,Growing of perennial crops,F1.0011,ISIC-012,ISIC-01,3,Group,A,01,012,0000,Yes,1,2,2,1,,0,3,NACE-01.2,NAICS-111336;  NAICS-111998,,
0121,Growing of grapes,F1.0012,ISIC-0121,ISIC-012,4,Class,A,01,012,0121,Yes,1,1,1,1,,1,3,NACE-01.21,NAICS-111332,ANZSIC-0131,
0122,Growing of tropical and subtropical fruits,F1.0013,ISIC-0122,ISIC-012,4,Class,A,01,012,0122,Yes,1,2,2,1,,1,4,NACE-01.22,NAICS-111339;  NAICS-111419,ANZSIC-0139,
0123,Growing of citrus fruits,F1.0014,ISIC-0123,ISIC-012,4,Class,A,01,012,0123,Yes,1,2,2,1,,1,4,NACE-01.23,NAICS-111310;  NAICS-111320,ANZSIC-0136,
0124,Growing of pome fruits and stone fruits,F1.0015,ISIC-0124,ISIC-012,4,Class,A,01,012,0124,Yes,1,2,2,1,,2,5,NACE-01.24,NAICS-111331;  NAICS-111339,ANZSIC-0134;  ANZSIC-0135,
0125,Growing of other tree and bush fruits and nuts,F1.0016,ISIC-0125,ISIC-012,4,Class,A,01,012,0125,Yes,1,4,4,1,,3,8,NACE-01.25,NAICS-111333;  NAICS-111334;  NAICS-111335;  NAICS-111339,ANZSIC-0132;  ANZSIC-0133;  ANZSIC-0139,
0126,Growing of oleaginous fruits,F1.0017,ISIC-0126,ISIC-012,4,Class,A,01,012,0126,Yes,1,2,2,1,,2,5,NACE-01.26,NAICS-111335;  NAICS-111339,ANZSIC-0137;  ANZSIC-0139,
0127,Growing of beverage crops,F1.0018,ISIC-0127,ISIC-012,4,Class,A,01,012,0127,Yes,1,2,2,1,,1,4,NACE-01.27,NAICS-111339;  NAICS-111998,ANZSIC-0159,
0128,"Growing of spices, aromatic, drug and pharmaceutical crops",F1.0019,ISIC-0128,ISIC-012,4,Class,A,01,012,0128,Yes,1,3,3,1,,3,7,NACE-01.28,NAICS-111219;  NAICS-111419;  NAICS-111998,ANZSIC-0122;  ANZSIC-0123;  ANZSIC-0159,
0129,Growing of other perennial crops,F1.0020,ISIC-0129,ISIC-012,4,Class,A,01,012,0129,Yes,1,2,2,1,,7,10,NACE-01.29,NAICS-111421;  NAICS-111998,ANZSIC-0111;  ANZSIC-0112;  ANZSIC-0114;  ANZSIC-0115;  ANZSIC-0122;  ANZSIC-0123;  ANZSIC-0159,
013,Plant propagation,F1.0021,ISIC-013,ISIC-01,3,Group,A,01,013,0000,Yes,1,0,0,1,Yes,0,1,NACE-01.3,,,
0130,Plant propagation,F1.0022,ISIC-0130,ISIC-013,4,Class,A,01,013,0130,Yes,1,1,1,1,,4,6,NACE-01.30,NAICS-111421,ANZSIC-0111;  ANZSIC-0112;  ANZSIC-0113;  ANZSIC-0121,
014,Animal production,F1.0023,ISIC-014,ISIC-01,3,Group,A,01,014,0000,Yes,1,1,1,1,,0,2,NACE-01.4,NAICS-112990,,
0141,Raising of cattle and buffaloes,F1.0024,ISIC-0141,ISIC-014,4,Class,A,01,014,0141,Yes,2,4,4,2,,4,10,NACE-01.41;  NACE-01.42,NAICS-112111;  NAICS-112112;  NAICS-112120;  NAICS-112130,ANZSIC-0142;  ANZSIC-0143;  ANZSIC-0144;  ANZSIC-0160,
0142,Raising of horses and other equines,F1.0025,ISIC-0142,ISIC-014,4,Class,A,01,014,0142,Yes,1,1,1,1,,2,4,NACE-01.43,NAICS-112920,ANZSIC-0191;  ANZSIC-0199,
0143,Raising of camels and camelids,F1.0026,ISIC-0143,ISIC-014,4,Class,A,01,014,0143,Yes,1,1,1,1,,1,3,NACE-01.44,NAICS-112990,ANZSIC-0199,
0144,Raising of sheep and goats,F1.0027,ISIC-0144,ISIC-014,4,Class,A,01,014,0144,Yes,1,2,2,1,,3,6,NACE-01.45,NAICS-112410;  NAICS-112420,ANZSIC-0141;  ANZSIC-0144;  ANZSIC-0199,
0145,Raising of swine/pigs,F1.0028,ISIC-0145,ISIC-014,4,Class,A,01,014,0145,Yes,1,1,1,1,,1,3,NACE-01.46,NAICS-112210,ANZSIC-0192,
0146,Raising of poultry,F1.0029,ISIC-0146,ISIC-014,4,Class,A,01,014,0146,Yes,1,5,5,1,,2,8,NACE-01.47,NAICS-112310;  NAICS-112320;  NAICS-112330;  NAICS-112340;  NAICS-112390,ANZSIC-0171;  ANZSIC-0172,
0149,Raising of other animals,F1.0030,ISIC-0149,ISIC-014,4,Class,A,01,014,0149,Yes,1,4,4,1,,3,8,NACE-01.49,NAICS-112390;  NAICS-112910;  NAICS-112930;  NAICS-112990,ANZSIC-0180;  ANZSIC-0193;  ANZSIC-0199,
015,Mixed farming,F1.0031,ISIC-015,ISIC-01,3,Group,A,01,015,0000,Yes,1,0,0,1,Yes,0,1,NACE-01.5,,,
0150,Mixed farming,F1.0032,ISIC-0150,ISIC-015,4,Class,A,01,015,0150,Yes,1,2,2,1,,1,4,NACE-01.50,NAICS-111998;  NAICS-112990,ANZSIC-0145,
016,Support activities to agriculture and post-harvest crop activities,F1.0033,ISIC-016,ISIC-01,3,Group,A,01,016,0000,Yes,1,0,0,1,Yes,0,1,NACE-01.6,,,
0161,Support activities for crop production,F1.0034,ISIC-0161,ISIC-016,4,Class,A,01,016,0161,Yes,1,4,4,1,,1,6,NACE-01.61,NAICS-115112;  NAICS-115113;  NAICS-115115;  NAICS-115116,ANZSIC-0529,
0162,Support activities for animal production,F1.0035,ISIC-0162,ISIC-016,4,Class,A,01,016,0162,Yes,1,2,2,1,,5,8,NACE-01.62,NAICS-115116;  NAICS-115210,ANZSIC-0141;  ANZSIC-0142;  ANZSIC-0191;  ANZSIC-0522;  ANZSIC-0529,
0163,Post-harvest crop activities,F1.0036,ISIC-0163,ISIC-016,4,Class,A,01,016,0163,Yes,1,2,2,1,,2,5,NACE-01.63,NAICS-115111;  NAICS-115114,ANZSIC-0521;  ANZSIC-0529,
0164,Seed processing for propagation,F1.0037,ISIC-0164,ISIC-016,4,Class,A,01,016,0164,Yes,1,1,1,1,,1,3,NACE-01.64,NAICS-115114,ANZSIC-0529,
017,"Hunting, trapping and related service activities",F1.0038,ISIC-017,ISIC-01,3,Group,A,01,017,0000,Yes,1,0,0,1,Yes,0,1,NACE-01.7,,,
0170,"Hunting, trapping and related service activities",F1.0039,ISIC-0170,ISIC-017,4,Class,A,01,017,0170,Yes,1,1,1,1,,1,3,NACE-01.70,NAICS-114210,ANZSIC-0420,
02,Forestry and logging,F1.0040,ISIC-02,ISIC-A,2,Division,A,02,000,0000,Yes,1,0,0,1,Yes,0,1,NACE-02,,,
021,Silviculture and other forestry activities,F1.0041,ISIC-021,ISIC-02,3,Group,A,02,021,0000,Yes,1,0,0,1,Yes,0,1,NACE-02.1,,,
0210,Silviculture and other forestry activities,F1.0042,ISIC-0210,ISIC-021,4,Class,A,02,021,0210,Yes,1,2,2,1,,2,5,NACE-02.10,NAICS-113110;  NAICS-113210,ANZSIC-0301;  ANZSIC-0510,
022,Logging,F1.0043,ISIC-022,ISIC-02,3,Group,A,02,022,0000,Yes,1,0,0,1,Yes,0,1,NACE-02.2,,,
0220,Logging,F1.0044,ISIC-0220,ISIC-022,4,Class,A,02,022,0220,Yes,1,1,1,1,,1,3,NACE-02.20,NAICS-113310,ANZSIC-0302,
023,Gathering of non-wood forest products,F1.0045,ISIC-023,ISIC-02,3,Group,A,02,023,0000,Yes,1,0,0,1,Yes,0,1,NACE-02.3,,,
0230,Gathering of non-wood forest products,F1.0046,ISIC-0230,ISIC-023,4,Class,A,02,023,0230,Yes,1,2,2,1,,1,4,NACE-02.30,NAICS-111998;  NAICS-113210,ANZSIC-0301,
024,Support services to forestry,F1.0047,ISIC-024,ISIC-02,3,Group,A,02,024,0000,Yes,1,0,0,1,Yes,0,1,NACE-02.4,,,
0240,Support services to forestry,F1.0048,ISIC-0240,ISIC-024,4,Class,A,02,024,0240,Yes,1,2,2,1,,3,6,NACE-02.40,NAICS-113310;  NAICS-115310,ANZSIC-0510;  ANZSIC-6962;  ANZSIC-7713,
03,Fishing and aquaculture,F1.0049,ISIC-03,ISIC-A,2,Division,A,03,000,0000,Yes,1,0,0,1,Yes,0,1,NACE-03,,,
031,Fishing,F1.0050,ISIC-031,ISIC-03,3,Group,A,03,031,0000,Yes,1,0,0,1,Yes,0,1,NACE-03.1,,,
0311,Marine fishing,F1.0051,ISIC-0311,ISIC-031,4,Class,A,03,031,0311,Yes,1,4,4,1,,7,12,NACE-03.11,NAICS-114111;  NAICS-114112;  NAICS-114119;  NAICS-311710,ANZSIC-0411;  ANZSIC-0412;  ANZSIC-0413;  ANZSIC-0414;  ANZSIC-0419;  ANZSIC-0529;  ANZSIC-1120,
0312,Freshwater fishing,F1.0052,ISIC-0312,ISIC-031,4,Class,A,03,031,0312,Yes,1,3,3,1,,2,6,NACE-03.12,NAICS-114111;  NAICS-114112;  NAICS-114119,ANZSIC-0419;  ANZSIC-0529,
032,Aquaculture,F1.0053,ISIC-032,ISIC-03,3,Group,A,03,032,0000,Yes,1,0,0,1,Yes,0,1,NACE-03.2,,,
0321,Marine aquaculture,F1.0054,ISIC-0321,ISIC-032,4,Class,A,03,032,0321,Yes,1,3,3,1,,3,7,NACE-03.21,NAICS-112511;  NAICS-112512;  NAICS-112519,ANZSIC-0201;  ANZSIC-0202;  ANZSIC-0203,
0322,Freshwater aquaculture,F1.0055,ISIC-0322,ISIC-032,4,Class,A,03,032,0322,Yes,1,4,4,1,,1,6,NACE-03.22,NAICS-111419;  NAICS-112511;  NAICS-112512;  NAICS-112519,ANZSIC-0203,
B,Mining and quarrying,F1.0056,ISIC-B,ISIC,1,Sections,B,00,000,0000,Yes,1,0,0,1,Yes,0,1,NACE-B,,,
05,Mining of coal and lignite,F1.0057,ISIC-05,ISIC-B,2,Division,B,05,000,0000,Yes,1,0,0,1,Yes,0,1,NACE-05,,,
051,Mining of hard coal,F1.0058,ISIC-051,ISIC-05,3,Group,B,05,051,0000,Yes,1,0,0,1,Yes,0,1,NACE-05.1,,,
0510,Mining of hard coal,F1.0059,ISIC-0510,ISIC-051,4,Class,B,05,051,0510,Yes,1,2,2,1,,2,5,NACE-05.10,NAICS-211130;  NAICS-212113,ANZSIC-0600;  ANZSIC-6999,
052,Mining of lignite,F1.0060,ISIC-052,ISIC-05,3,Group,B,05,052,0000,Yes,1,0,0,1,Yes,0,1,NACE-05.2,,,
0520,Mining of lignite,F1.0061,ISIC-0520,ISIC-052,4,Class,B,05,052,0520,Yes,1,2,2,1,,1,4,NACE-05.20,NAICS-212111;  NAICS-212112,ANZSIC-0600,
06,Extraction of crude petroleum and natural gas,F1.0062,ISIC-06,ISIC-B,2,Division,B,06,000,0000,Yes,1,0,0,1,Yes,0,1,NACE-06,,,
061,Extraction of crude petroleum,F1.0063,ISIC-061,ISIC-06,3,Group,B,06,061,0000,Yes,1,0,0,1,Yes,0,1,NACE-06.1,,,
0610,Extraction of crude petroleum,F1.0064,ISIC-0610,ISIC-061,4,Class,B,06,061,0610,Yes,1,1,1,1,,1,3,NACE-06.10,NAICS-211120,ANZSIC-0700,
062,Extraction of natural gas,F1.0065,ISIC-062,ISIC-06,3,Group,B,06,062,0000,Yes,1,0,0,1,Yes,0,1,NACE-06.2,,,
0620,Extraction of natural gas,F1.0066,ISIC-0620,ISIC-062,4,Class,B,06,062,0620,Yes,1,1,1,1,,1,3,NACE-06.20,NAICS-211130,ANZSIC-0700,
07,Mining of metal ores,F1.0067,ISIC-07,ISIC-B,2,Division,B,07,000,0000,Yes,1,0,0,1,Yes,0,1,NACE-07,,,
071,Mining of iron ores,F1.0068,ISIC-071,ISIC-07,3,Group,B,07,071,0000,Yes,1,0,0,1,Yes,0,1,NACE-07.1,,,
0710,Mining of iron ores,F1.0069,ISIC-0710,ISIC-071,4,Class,B,07,071,0710,Yes,1,1,1,1,,1,3,NACE-07.10,NAICS-212210,ANZSIC-0801,
072,Mining of non-ferrous metal ores,F1.0070,ISIC-072,ISIC-07,3,Group,B,07,072,0000,Yes,1,0,0,1,Yes,0,1,NACE-07.2,,,
0721,Mining of uranium and thorium ores,F1.0071,ISIC-0721,ISIC-072,4,Class,B,07,072,0721,Yes,1,2,2,1,,1,4,NACE-07.21,NAICS-212291;  NAICS-212299,ANZSIC-0809,
0729,Mining of other non-ferrous metal ores,F1.0072,ISIC-0729,ISIC-072,4,Class,B,07,072,0729,Yes,1,5,5,1,,7,13,NACE-07.29,NAICS-212221;  NAICS-212222;  NAICS-212230;  NAICS-212291;  NAICS-212299,ANZSIC-0802;  ANZSIC-0803;  ANZSIC-0804;  ANZSIC-0805;  ANZSIC-0806;  ANZSIC-0807;  ANZSIC-0809,
08,Other mining and quarrying,F1.0073,ISIC-08,ISIC-B,2,Division,B,08,000,0000,Yes,1,0,0,1,Yes,0,1,NACE-08,,,
081,"Quarrying of stone, sand and clay",F1.0074,ISIC-081,ISIC-08,3,Group,B,08,081,0000,Yes,1,0,0,1,Yes,0,1,NACE-08.1,,,
0810,"Quarrying of stone, sand and clay",F1.0075,ISIC-0810,ISIC-081,4,Class,B,08,081,0810,Yes,2,9,9,2,,3,14,NACE-08.11;  NACE-08.12,NAICS-212311;  NAICS-212312;  NAICS-212313;  NAICS-212319;  NAICS-212321;  NAICS-212322;  NAICS-212324;  NAICS-212325;  NAICS-212399,ANZSIC-0911;  ANZSIC-0919;  ANZSIC-0990,
089,Mining and quarrying n.e.c.,F1.0076,ISIC-089,ISIC-08,3,Group,B,08,089,0000,Yes,1,0,0,1,Yes,0,1,NACE-08.9,,,
0891,Mining of chemical and fertilizer minerals,F1.0077,ISIC-0891,ISIC-089,4,Class,B,08,089,0891,Yes,1,4,4,1,,1,6,NACE-08.91,NAICS-212312;  NAICS-212391;  NAICS-212392;  NAICS-212393,ANZSIC-0990,
0892,Extraction of peat,F1.0078,ISIC-0892,ISIC-089,4,Class,B,08,089,0892,Yes,1,1,1,1,,1,3,NACE-08.92,NAICS-212399,ANZSIC-0600,
0893,Extraction of salt,F1.0079,ISIC-0893,ISIC-089,4,Class,B,08,089,0893,Yes,1,2,2,1,,1,4,NACE-08.93,NAICS-212393;  NAICS-311942,ANZSIC-0990,
0899,Other mining and quarrying n.e.c.,F1.0080,ISIC-0899,ISIC-089,4,Class,B,08,089,0899,Yes,1,2,2,1,,1,4,NACE-08.99,NAICS-212325;  NAICS-212399,ANZSIC-0990,
09,Mining support service activities,F1.0081,ISIC-09,ISIC-B,2,Division,B,09,000,0000,Yes,1,0,0,1,Yes,0,1,NACE-09,,,
091,Support activities for petroleum and natural gas extraction,F1.0082,ISIC-091,ISIC-09,3,Group,B,09,091,0000,Yes,1,0,0,1,Yes,0,1,NACE-09.1,,,
0910,Support activities for petroleum and natural gas extraction,F1.0083,ISIC-0910,ISIC-091,4,Class,B,09,091,0910,Yes,1,3,3,1,,5,9,NACE-09.10,NAICS-213111;  NAICS-213112;  NAICS-488999,ANZSIC-0700;  ANZSIC-1011;  ANZSIC-1090;  ANZSIC-6999;  ANZSIC-7713,
099,Support activities for other mining and quarrying,F1.0084,ISIC-099,ISIC-09,3,Group,B,09,099,0000,Yes,1,0,0,1,Yes,0,1,NACE-09.9,,,
0990,Support activities for other mining and quarrying,F1.0085,ISIC-0990,ISIC-099,4,Class,B,09,099,0990,Yes,1,3,3,1,,3,7,NACE-09.90,NAICS-213113;  NAICS-213114;  NAICS-213115,ANZSIC-1012;  ANZSIC-1090;  ANZSIC-6999,
C,Manufacturing,F1.0086,ISIC-C,ISIC,1,Sections,C,00,000,0000,Yes,1,0,0,1,Yes,0,1,NACE-C,,,
10,Manufacture of food products,F1.0087,ISIC-10,ISIC-C,2,Division,C,10,000,0000,Yes,1,0,0,1,Yes,0,1,NACE-10,,,
101,Processing and preserving of meat,F1.0088,ISIC-101,ISIC-10,3,Group,C,10,101,0000,Yes,1,0,0,1,Yes,0,1,NACE-10.1,,,
1010,Processing and preserving of meat,F1.0089,ISIC-1010,ISIC-101,4,Class,C,10,101,1010,Yes,3,6,6,3,,3,12,NACE-10.11;  NACE-10.12;  NACE-10.13,NAICS-311412;  NAICS-311611;  NAICS-311612;  NAICS-311613;  NAICS-311615;  NAICS-311710,ANZSIC-1111;  ANZSIC-1112;  ANZSIC-1113,
102,"Processing and preserving of fish, crustaceans and molluscs",F1.0090,ISIC-102,ISIC-10,3,Group,C,10,102,0000,Yes,1,0,0,1,Yes,0,1,NACE-10.2,,,
1020,"Processing and preserving of fish, crustaceans and molluscs",F1.0091,ISIC-1020,ISIC-102,4,Class,C,10,102,1020,Yes,1,1,1,1,,1,3,NACE-10.20,NAICS-311710,ANZSIC-1120,
103,Processing and preserving of fruit and vegetables,F1.0092,ISIC-103,ISIC-10,3,Group,C,10,103,0000,Yes,1,0,0,1,Yes,0,1,NACE-10.3,,,
1030,Processing and preserving of fruit and vegetables,F1.0093,ISIC-1030,ISIC-103,4,Class,C,10,103,1030,Yes,3,11,11,3,,4,18,NACE-10.31;  NACE-10.32;  NACE-10.39,NAICS-311211;  NAICS-311411;  NAICS-311421;  NAICS-311423;  NAICS-311911;  NAICS-311919;  NAICS-311930;  NAICS-311941;  NAICS-311942;  NAICS-311991;  NAICS-311999,ANZSIC-1140;  ANZSIC-1191;  ANZSIC-1199;  ANZSIC-1211,
104,Manufacture of vegetable and animal oils and fats,F1.0094,ISIC-104,ISIC-10,3,Group,C,10,104,0000,Yes,1,0,0,1,Yes,0,1,NACE-10.4,,,
1040,Manufacture of vegetable and animal oils and fats,F1.0095,ISIC-1040,ISIC-104,4,Class,C,10,104,1040,Yes,2,4,4,2,,1,7,NACE-10.41;  NACE-10.42,NAICS-311221;  NAICS-311224;  NAICS-311225;  NAICS-311710,ANZSIC-1150,
105,Manufacture of dairy products,F1.0096,ISIC-105,ISIC-10,3,Group,C,10,105,0000,Yes,1,0,0,1,Yes,0,1,NACE-10.5,,,
1050,Manufacture of dairy products,F1.0097,ISIC-1050,ISIC-105,4,Class,C,10,105,1050,Yes,2,5,5,2,,3,10,NACE-10.51;  NACE-10.52,NAICS-311511;  NAICS-311512;  NAICS-311513;  NAICS-311514;  NAICS-311520,ANZSIC-1131;  ANZSIC-1132;  ANZSIC-1133,
106,"Manufacture of grain mill products, starches and starch products",F1.0098,ISIC-106,ISIC-10,3,Group,C,10,106,0000,Yes,1,0,0,1,Yes,0,1,NACE-10.6,,,
1061,Manufacture of grain mill products,F1.0099,ISIC-1061,ISIC-106,4,Class,C,10,106,1061,Yes,1,4,4,1,,3,8,NACE-10.61,NAICS-311211;  NAICS-311212;  NAICS-311230;  NAICS-311824,ANZSIC-1161;  ANZSIC-1162;  ANZSIC-1171,
1062,Manufacture of starches and starch products,F1.0100,ISIC-1062,ISIC-106,4,Class,C,10,106,1062,Yes,1,2,2,1,,2,5,NACE-10.62,NAICS-311221;  NAICS-311225,ANZSIC-1150;  ANZSIC-1161,
107,Manufacture of other food products,F1.0101,ISIC-107,ISIC-10,3,Group,C,10,107,0000,Yes,2,0,0,2,Yes,0,2,NACE-10.7;  NACE-10.8,,,
1071,Manufacture of bakery products,F1.0102,ISIC-1071,ISIC-107,4,Class,C,10,107,1071,Yes,2,7,7,2,,6,15,NACE-10.71;  NACE-10.72,NAICS-311412;  NAICS-311811;  NAICS-311812;  NAICS-311813;  NAICS-311821;  NAICS-311830;  NAICS-311919,ANZSIC-1171;  ANZSIC-1172;  ANZSIC-1173;  ANZSIC-1174;  ANZSIC-1191;  ANZSIC-1199,
1072,Manufacture of sugar,F1.0103,ISIC-1072,ISIC-107,4,Class,C,10,107,1072,Yes,1,3,3,1,,1,5,NACE-10.81,NAICS-111998;  NAICS-311313;  NAICS-311314,ANZSIC-1181,
1073,"Manufacture of cocoa, chocolate and sugar confectionery",F1.0104,ISIC-1073,ISIC-107,4,Class,C,10,107,1073,Yes,1,3,3,1,,2,6,NACE-10.82,NAICS-311340;  NAICS-311351;  NAICS-311352,ANZSIC-1150;  ANZSIC-1182,
1074,"Manufacture of macaroni, noodles, couscous and similar farinaceous products",F1.0105,ISIC-1074,ISIC-107,4,Class,C,10,107,1074,Yes,1,4,4,1,,1,6,NACE-10.73,NAICS-311412;  NAICS-311422;  NAICS-311824;  NAICS-311991,ANZSIC-1162,
1075,Manufacture of prepared meals and dishes,F1.0106,ISIC-1075,ISIC-107,4,Class,C,10,107,1075,Yes,1,5,5,1,,7,13,NACE-10.85,NAICS-311412;  NAICS-311422;  NAICS-311710;  NAICS-311824;  NAICS-311999,ANZSIC-1111;  ANZSIC-1112;  ANZSIC-1113;  ANZSIC-1120;  ANZSIC-1140;  ANZSIC-1161;  ANZSIC-1199,
1079,Manufacture of other food products n.e.c.,F1.0107,ISIC-1079,ISIC-107,4,Class,C,10,107,1079,Yes,4,15,15,4,,7,26,NACE-10.83;  NACE-10.84;  NACE-10.86;  NACE-10.89,NAICS-311412;  NAICS-311421;  NAICS-311422;  NAICS-311423;  NAICS-311511;  NAICS-311513;  NAICS-311514;  NAICS-311612;  NAICS-311710;  NAICS-311920;  NAICS-311930;  NAICS-311941;  NAICS-311942;  NAICS-311991;  NAICS-311999,ANZSIC-1133;  ANZSIC-1140;  ANZSIC-1161;  ANZSIC-1191;  ANZSIC-1199;  ANZSIC-1211;  ANZSIC-1214,
108,Manufacture of prepared animal feeds,F1.0108,ISIC-108,ISIC-10,3,Group,C,10,108,0000,Yes,1,0,0,1,Yes,0,1,NACE-10.9,,,
1080,Manufacture of prepared animal feeds,F1.0109,ISIC-1080,ISIC-108,4,Class,C,10,108,1080,Yes,2,2,2,2,,1,5,NACE-10.91;  NACE-10.92,NAICS-311111;  NAICS-311119,ANZSIC-1192,
11,Manufacture of beverages,F1.0110,ISIC-11,ISIC-C,2,Division,C,11,000,0000,Yes,1,0,0,1,Yes,0,1,NACE-11,,,
110,Manufacture of beverages,F1.0111,ISIC-110,ISIC-11,3,Group,C,11,110,0000,Yes,1,0,0,1,Yes,0,1,NACE-11.0,,,
1101,"Distilling, rectifying and blending of spirits",F1.0112,ISIC-1101,ISIC-110,4,Class,C,11,110,1101,Yes,1,2,2,1,,1,4,NACE-11.01,NAICS-312130;  NAICS-312140,ANZSIC-1213,
1102,Manufacture of wines,F1.0113,ISIC-1102,ISIC-110,4,Class,C,11,110,1102,Yes,3,1,1,3,,2,6,NACE-11.02;  NACE-11.03;  NACE-11.04,NAICS-312130,ANZSIC-1211;  ANZSIC-1214,
1103,Manufacture of malt liquors and malt,F1.0114,ISIC-1103,ISIC-110,4,Class,C,11,110,1103,Yes,2,2,2,2,,2,6,NACE-11.05;  NACE-11.06,NAICS-311213;  NAICS-312120,ANZSIC-1161;  ANZSIC-1212,
1104,Manufacture of soft drinks; production of mineral waters and other bottled waters,F1.0115,ISIC-1104,ISIC-110,4,Class,C,11,110,1104,Yes,1,2,2,1,,1,4,NACE-11.07,NAICS-312111;  NAICS-312112,ANZSIC-1211,
12,Manufacture of tobacco products,F1.0116,ISIC-12,ISIC-C,2,Division,C,12,000,0000,Yes,1,0,0,1,Yes,0,1,NACE-12,,,
120,Manufacture of tobacco products,F1.0117,ISIC-120,ISIC-12,3,Group,C,12,120,0000,Yes,1,0,0,1,Yes,0,1,NACE-12.0,,,
1200,Manufacture of tobacco products,F1.0118,ISIC-1200,ISIC-120,4,Class,C,12,120,1200,Yes,1,1,1,1,,1,3,NACE-12.00,NAICS-312230,ANZSIC-1220,
13,Manufacture of textiles,F1.0119,ISIC-13,ISIC-C,2,Division,C,13,000,0000,Yes,1,0,0,1,Yes,0,1,NACE-13,,,
131,"Spinning, weaving and finishing of textiles",F1.0120,ISIC-131,ISIC-13,3,Group,C,13,131,0000,Yes,3,0,0,3,Yes,0,3,NACE-13.1;  NACE-13.2;  NACE-13.3,,,
1311,Preparation and spinning of textile fibres,F1.0121,ISIC-1311,ISIC-131,4,Class,C,13,131,1311,Yes,1,3,3,1,,3,7,NACE-13.10,NAICS-313110;  NAICS-313310;  NAICS-314999,ANZSIC-1311;  ANZSIC-1312;  ANZSIC-1313,
1312,Weaving of textiles,F1.0122,ISIC-1312,ISIC-131,4,Class,C,13,131,1312,Yes,1,1,1,1,,2,4,NACE-13.20,NAICS-313210,ANZSIC-1312;  ANZSIC-1313,
