Part of NAICS US,2017NAICSUS  ,2017 NAICS US TITLE,Part of ISIC,ISIC 4.0,ISIC Revision 4.0 Title,"Notes:  link content based on NAICS definition, entire NAICS industry if blank",ISIC 4.02,UID,#NAICS,#ISIC,Comments,#NAICS matches,#ISIC matches
,111910,Tobacco Farming,,0115,Growing of tobacco, ,0115,F4.0037,NAICS-111910,ISIC-0115,,1,1
,111920,Cotton Farming,*,0116,Growing of fibre crops, ,0116,F4.0038,NAICS-111920,ISIC-0116,,1,1
,111930,Sugarcane Farming,,0114,Growing of sugar cane, ,0114,F4.0039,NAICS-111930,ISIC-0114,,1,1
,111940,Hay Farming,*,0119,Growing of other non-perennial crops, ,0119,F4.0040,NAICS-111940,ISIC-0119,,1,1
,111991,Sugar Beet Farming,*,0113,"Growing of vegetables and melons, roots and tubers", ,0113,F4.0041,NAICS-111991,ISIC-0113,,1,1
,111992,Peanut Farming,*,0111,"Growing of cereals (except rice), leguminous crops and oil seeds", ,0111,F4.0042,NAICS-111992,ISIC-0111,,1,1
*,111998,All Other Miscellaneous Crop Farming,*,0111,"Growing of cereals (except rice), leguminous crops and oil seeds","field crops, n.e.c.; and combinations of grains, cereal crops, and other similar crops ",0111,F4.0043,NAICS-111998,ISIC-0111,,1,1
*,111998,All Other Miscellaneous Crop Farming,*,0116,Growing of fibre crops,"sisal, abaca, and other textile fibers",0116,F4.0044,NAICS-111998,ISIC-0116,,1,1
*,111998,All Other Miscellaneous Crop Farming,*,012,Growing of perennial crops,"ISIC group level link - combinations of fruit, nut, beverage and spice crops, based on primary",012,F4.0045,NAICS-111998,ISIC-012,,1,1
*,111998,All Other Miscellaneous Crop Farming,*,0127,Growing of beverage crops,tea and mate growing,0127,F4.0046,NAICS-111998,ISIC-0127,,1,1
*,111998,All Other Miscellaneous Crop Farming,*,0128,"Growing of spices, aromatic, drug and pharmaceutical crops",spice crop production,0128,F4.0047,NAICS-111998,ISIC-0128,,1,1
*,111998,All Other Miscellaneous Crop Farming,*,0129,Growing of other perennial crops,natural rubber latex; growing maple trees for the harvest of maple sap,0129,F4.0048,NAICS-111998,ISIC-0129,,1,1
*,111998,All Other Miscellaneous Crop Farming,*,0150,Mixed farming,"combinations of crops, livestock, and animal specialties (primarily but less than 66% crops)",0150,F4.0049,NAICS-111998,ISIC-0150,,1,1
*,111998,All Other Miscellaneous Crop Farming,*,0230,Gathering of non-wood forest products,gathering maple sap in the wild,0230,F4.0050,NAICS-111998,ISIC-0230,,1,1
*,111998,All Other Miscellaneous Crop Farming,*,1072,Manufacture of sugar,maple sugars and syrups produced in a separate central facility ,1072,F4.0051,NAICS-111998,ISIC-1072,,1,1
,112111,Beef Cattle Ranching and Farming,*,0141,Raising of cattle and buffaloes, ,0141,F4.0052,NAICS-112111,ISIC-0141,,1,1
,112112,Cattle Feedlots,*,0141,Raising of cattle and buffaloes, ,0141,F4.0053,NAICS-112112,ISIC-0141,,1,1
,112120,Dairy Cattle and Milk Production,*,0141,Raising of cattle and buffaloes, ,0141,F4.0054,NAICS-112120,ISIC-0141,,1,1
,112130,Dual-Purpose Cattle Ranching and Farming,*,0141,Raising of cattle and buffaloes,null set for U.S. ,0141,F4.0055,NAICS-112130,ISIC-0141,,1,1
,112210,Hog and Pig Farming,,0145,Raising of swine/pigs, ,0145,F4.0056,NAICS-112210,ISIC-0145,,1,1
,112310,Chicken Egg Production,*,0146,Raising of poultry, ,0146,F4.0057,NAICS-112310,ISIC-0146,,1,1
,112320,Broilers and Other Meat Type Chicken Production,*,0146,Raising of poultry, ,0146,F4.0058,NAICS-112320,ISIC-0146,,1,1
,112330,Turkey Production,*,0146,Raising of poultry, ,0146,F4.0059,NAICS-112330,ISIC-0146,,1,1
,112340,Poultry Hatcheries,*,0146,Raising of poultry, ,0146,F4.0060,NAICS-112340,ISIC-0146,,1,1
*,112390,Other Poultry Production,*,0146,Raising of poultry,"except emu, ostriches",0146,F4.0061,NAICS-112390,ISIC-0146,,1,1
*,112390,Other Poultry Production,*,0149,Raising of other animals,"emu, ostriches",0149,F4.0062,NAICS-112390,ISIC-0149,,1,1
,112410,Sheep Farming,*,0144,Raising of sheep and goats, ,0144,F4.0063,NAICS-112410,ISIC-0144,,1,1
,112420,Goat Farming,*,0144,Raising of sheep and goats, ,0144,F4.0064,NAICS-112420,ISIC-0144,,1,1
*,112511,Finfish Farming and Fish Hatcheries,*,0321,Marine aquaculture,saltwater finfish farming and hatcheries,0321,F4.0065,NAICS-112511,ISIC-0321,,1,1
*,112511,Finfish Farming and Fish Hatcheries,*,0322,Freshwater aquaculture,freshwater finfish farming and hatcheries,0322,F4.0066,NAICS-112511,ISIC-0322,,1,1
*,112512,Shellfish Farming,*,0321,Marine aquaculture,saltwater shellfish farming including production of cultured pearls,0321,F4.0067,NAICS-112512,ISIC-0321,,1,1
*,112512,Shellfish Farming,*,0322,Freshwater aquaculture,freshwater shellfish farming,0322,F4.0068,NAICS-112512,ISIC-0322,,1,1
*,112519,Other Aquaculture,*,0321,Marine aquaculture,"saltwater alligator, frog, algae, seaweed, turtle, worm, snake, and other animal aquaculture n.e.c.",0321,F4.0069,NAICS-112519,ISIC-0321,,1,1
*,112519,Other Aquaculture,*,0322,Freshwater aquaculture,"freshwater alligator, frog, algae, seaweed, turtle, worm, snake and other animal aquaculture n.e.c.",0322,F4.0070,NAICS-112519,ISIC-0322,,1,1
,112910,Apiculture,*,0149,Raising of other animals, ,0149,F4.0071,NAICS-112910,ISIC-0149,,1,1
,112920,Horses and Other Equine Production,,0142,Raising of horses and other equines, ,0142,F4.0072,NAICS-112920,ISIC-0142,,1,1
,112930,Fur-Bearing Animal and Rabbit Production,*,0149,Raising of other animals, ,0149,F4.0073,NAICS-112930,ISIC-0149,,1,1
*,112990,All Other Animal Production,,014,Animal production,"ISIC group level link - other general livestock farms including combinations of animals, such as horses, asses, mules, cattle, sheep and goats",014,F4.0074,NAICS-112990,ISIC-014,,1,1
*,112990,All Other Animal Production,,0143,Raising of camels and camelids,camels and camelids,0143,F4.0075,NAICS-112990,ISIC-0143,,1,1
*,112990,All Other Animal Production,*,0149,Raising of other animals,"other animal farms including cats, crickets and other insects, dogs, pet birds",0149,F4.0076,NAICS-112990,ISIC-0149,,1,1
*,112990,All Other Animal Production,*,0150,Mixed farming,"combinations of crops, livestock, and animal specialties (primarily but less than 66% livestock)",0150,F4.0077,NAICS-112990,ISIC-0150,,1,1
,113110,Timber Tract Operations,*,0210,Silviculture and other forestry activities,,0210,F4.0078,NAICS-113110,ISIC-0210,,1,1
*,113210,Forest Nurseries and Gathering of Forest Products,*,0210,Silviculture and other forestry activities,except gathering forest products in the wild,0210,F4.0079,NAICS-113210,ISIC-0210,,1,1
*,113210,Forest Nurseries and Gathering of Forest Products,*,0230,Gathering of non-wood forest products,gathering forest products in the wild,0230,F4.0080,NAICS-113210,ISIC-0230,,1,1
*,113310,Logging,,0220,Logging,except separate log hauling in the forest and production of wood chips in the forest,0220,F4.0081,NAICS-113310,ISIC-0220,,1,1
*,113310,Logging,*,0240,Support services to forestry,separate log hauling in the forest without logging,0240,F4.0082,NAICS-113310,ISIC-0240,,1,1
*,113310,Logging,*,1610,Sawmilling and planing of wood,"production of wood chips in the forest, portable chipper mills",1610,F4.0083,NAICS-113310,ISIC-1610,,1,1
*,114111,Finfish Fishing,*,0311,Marine fishing,marine finfish fishing,0311,F4.0084,NAICS-114111,ISIC-0311,,1,1
*,114111,Finfish Fishing,*,0312,Freshwater fishing,freshwater finfish fishing ,0312,F4.0085,NAICS-114111,ISIC-0312,,1,1
*,114112,Shellfish Fishing,*,0311,Marine fishing,marine shellfish fishing,0311,F4.0086,NAICS-114112,ISIC-0311,,1,1
*,114112,Shellfish Fishing,*,0312,Freshwater fishing,freshwater shellfish fishing,0312,F4.0087,NAICS-114112,ISIC-0312,,1,1
*,114119,Other Marine Fishing,*,0311,Marine fishing,"saltwater seaweed gathering, sponge gathering, and catching turtles and frogs in the wild",0311,F4.0088,NAICS-114119,ISIC-0311,,1,1
*,114119,Other Marine Fishing,*,0312,Freshwater fishing,"freshwater seaweed gathering, sponge gathering, and catching turtles and frogs in the wild",0312,F4.0089,NAICS-114119,ISIC-0312,,1,1
,114210,Hunting and Trapping,,0170,"Hunting, trapping and related service activities", ,0170,F4.0090,NAICS-114210,ISIC-0170,,1,1
,115111,Cotton Ginning,*,0163,Post-harvest crop activities, ,0163,F4.0091,NAICS-115111,ISIC-0163,,1,1
,115112,"Soil Preparation, Planting, and Cultivating",*,0161,Support activities for crop production, ,0161,F4.0092,NAICS-115112,ISIC-0161,,1,1
,115113,"Crop Harvesting, Primarily by Machine",*,0161,Support activities for crop production, ,0161,F4.0093,NAICS-115113,ISIC-0161,,1,1
*,115114,Postharvest Crop Activities (except Cotton Ginning),*,0163,Post-harvest crop activities,except seed processing,0163,F4.0094,NAICS-115114,ISIC-0163,,1,1
*,115114,Postharvest Crop Activities (except Cotton Ginning),,0164,Seed processing for propagation,seed processing,0164,F4.0095,NAICS-115114,ISIC-0164,,1,1
,115115,Farm Labor Contractors and Crew Leaders,*,0161,Support activities for crop production, ,0161,F4.0096,NAICS-115115,ISIC-0161,,1,1
*,115116,Farm Management Services,*,0161,Support activities for crop production,crop farm management services - running a farm on a contract or fee basis,0161,F4.0097,NAICS-115116,ISIC-0161,,1,1
*,115116,Farm Management Services,*,0162,Support activities for animal production,animal farm management services - running a farm on a contract or fee basis,0162,F4.0098,NAICS-115116,ISIC-0162,,1,1
*,115210,Support Activities for Animal Production,*,0162,Support activities for animal production,except vaccinating livestock not performed by veterinarians,0162,F4.0099,NAICS-115210,ISIC-0162,,1,1
*,115210,Support Activities for Animal Production,*,7500,Veterinary activities,vaccinating livestock not performed by veterinarians,7500,F4.0100,NAICS-115210,ISIC-7500,,1,1
,115310,Support Activities for Forestry,*,0240,Support services to forestry, ,0240,F4.0101,NAICS-115310,ISIC-0240,,1,1
,211120,Crude Petroleum Extraction,,0610,Extraction of crude petroleum,,0610,F4.0102,NAICS-211120,ISIC-0610,,1,1
*,211130,Natural Gas Extraction,*,0510,Mining of hard coal,liquefying and extracting coal,0510,F4.0103,NAICS-211130,ISIC-0510,,1,1
*,211130,Natural Gas Extraction,,0620,Extraction of natural gas,extraction of natural gas and natural gas liquids,0620,F4.0104,NAICS-211130,ISIC-0620,,1,1
,212111,Bituminous Coal and Lignite Surface Mining,*,0520,Mining of lignite, ,0520,F4.0105,NAICS-212111,ISIC-0520,,1,1
,212112,Bituminous Coal Underground Mining,*,0520,Mining of lignite, ,0520,F4.0106,NAICS-212112,ISIC-0520,,1,1
,212113,Anthracite Mining,*,0510,Mining of hard coal, ,0510,F4.0107,NAICS-212113,ISIC-0510,,1,1
,212210,Iron Ore Mining,,0710,Mining of iron ores, ,0710,F4.0108,NAICS-212210,ISIC-0710,,1,1
,212221,Gold Ore Mining,*,0729,Mining of other non-ferrous metal ores, ,0729,F4.0109,NAICS-212221,ISIC-0729,,1,1
,212222,Silver Ore Mining,*,0729,Mining of other non-ferrous metal ores, ,0729,F4.0110,NAICS-212222,ISIC-0729,,1,1
,212230,"Copper, Nickel, Lead, and Zinc Mining",*,0729,Mining of other non-ferrous metal ores, ,0729,F4.0111,NAICS-212230,ISIC-0729,,1,1
*,212291,Uranium-Radium-Vanadium Ore Mining,*,0721,Mining of uranium and thorium ores,uranium and radium mining and/or beneficiating,0721,F4.0112,NAICS-212291,ISIC-0721,,1,1
*,212291,Uranium-Radium-Vanadium Ore Mining,*,0729,Mining of other non-ferrous metal ores,vanadium mining and/or beneficiating,0729,F4.0113,NAICS-212291,ISIC-0729,,1,1
*,212299,All Other Metal Ore Mining,*,0721,Mining of uranium and thorium ores,thorium mining and/or beneficiating,0721,F4.0114,NAICS-212299,ISIC-0721,,1,1
*,212299,All Other Metal Ore Mining,*,0729,Mining of other non-ferrous metal ores,except thorium mining and/or beneficiating,0729,F4.0115,NAICS-212299,ISIC-0729,,1,1
,212311,Dimension Stone Mining and Quarrying,*,0810,"Quarrying of stone, sand and clay",,0810,F4.0116,NAICS-212311,ISIC-0810,,1,1
*,212312,Crushed and Broken Limestone Mining and Quarrying,*,0810,"Quarrying of stone, sand and clay",except quarrying or mining marl,0810,F4.0117,NAICS-212312,ISIC-0810,,1,1
*,212312,Crushed and Broken Limestone Mining and Quarrying,*,0891,Mining of chemical and fertilizer minerals,quarrying or mining marl,0891,F4.0118,NAICS-212312,ISIC-0891,,1,1
,212313,Crushed and Broken Granite Mining and Quarrying,*,0810,"Quarrying of stone, sand and clay", ,0810,F4.0119,NAICS-212313,ISIC-0810,,1,1
,212319,Other Crushed and Broken Stone Mining and Quarrying,*,0810,"Quarrying of stone, sand and clay", ,0810,F4.0120,NAICS-212319,ISIC-0810,,1,1
,212321,Construction Sand and Gravel Mining,*,0810,"Quarrying of stone, sand and clay", ,0810,F4.0121,NAICS-212321,ISIC-0810,,1,1
,212322,Industrial Sand Mining,*,0810,"Quarrying of stone, sand and clay", ,0810,F4.0122,NAICS-212322,ISIC-0810,,1,1
,212324,Kaolin and Ball Clay Mining,*,0810,"Quarrying of stone, sand and clay", ,0810,F4.0123,NAICS-212324,ISIC-0810,,1,1
*,212325,Clay and Ceramic and Refractory Minerals Mining,*,0810,"Quarrying of stone, sand and clay",except non-clay ceramic and refractory minerals,0810,F4.0124,NAICS-212325,ISIC-0810,,1,1
*,212325,Clay and Ceramic and Refractory Minerals Mining,*,0899,Other mining and quarrying n.e.c.,"ceramic and refractory minerals except clays and bentonite (for example fullers earth, feldspar, and magnesite)",0899,F4.0125,NAICS-212325,ISIC-0899,,1,1
,212391,"Potash, Soda, and Borate Mineral Mining",*,0891,Mining of chemical and fertilizer minerals, ,0891,F4.0126,NAICS-212391,ISIC-0891,,1,1
,212392,Phosphate Rock Mining,*,0891,Mining of chemical and fertilizer minerals, ,0891,F4.0127,NAICS-212392,ISIC-0891,,1,1
*,212393,Other Chemical and Fertilizer Mineral Mining,*,0891,Mining of chemical and fertilizer minerals,except salt extraction or evaporation of brine to obtain salt,0891,F4.0128,NAICS-212393,ISIC-0891,,1,1
*,212393,Other Chemical and Fertilizer Mineral Mining,*,0893,Extraction of salt,salt extraction or evaporation of brine to obtain salt,0893,F4.0129,NAICS-212393,ISIC-0893,,1,1
*,212399,All Other Nonmetallic Mineral Mining,*,0810,"Quarrying of stone, sand and clay","other crushed stone including anhydrite, pulpstone, millstone, grindstone, gypsum, alabaster and pulpstone",0810,F4.0130,NAICS-212399,ISIC-0810,,1,1
*,212399,All Other Nonmetallic Mineral Mining,,0892,Extraction of peat,"peat mining, digging or beneficiating in combination with mining",0892,F4.0131,NAICS-212399,ISIC-0892,,1,1
*,212399,All Other Nonmetallic Mineral Mining,*,0899,Other mining and quarrying n.e.c.,"quarrying or mining abrasives, bitumins, natural asphalt, gem stones, mica, graphite, and other nonmetallic minerals n.e.c.",0899,F4.0132,NAICS-212399,ISIC-0899,,1,1
,213111,Drilling Oil and Gas Wells,*,0910,Support activities for petroleum and natural gas extraction, ,0910,F4.0133,NAICS-213111,ISIC-0910,,1,1
,213112,Support Activities for Oil and Gas Operations,*,0910,Support activities for petroleum and natural gas extraction, ,0910,F4.0134,NAICS-213112,ISIC-0910,,1,1
*,213113,Support Activities for Coal Mining,*,0990,Support activities for other mining and quarrying,except overburden removal for coal mining,0990,F4.0135,NAICS-213113,ISIC-0990,,1,1
*,213113,Support Activities for Coal Mining,*,4312,Site preparation,"overburden removal for coal mining, performed on a contract or fee basis",4312,F4.0136,NAICS-213113,ISIC-4312,,1,1
*,213114,Support Activities for Metal Mining,*,0990,Support activities for other mining and quarrying,except overburden removal for metal mining,0990,F4.0137,NAICS-213114,ISIC-0990,,1,1
*,213114,Support Activities for Metal Mining,*,4312,Site preparation,"overburden removal for ferrous metal mining, performed on a contract or fee basis",4312,F4.0138,NAICS-213114,ISIC-4312,,1,1
*,213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining,*,0990,Support activities for other mining and quarrying,except overburden removal for nonmetallic mineral mining,0990,F4.0139,NAICS-213115,ISIC-0990,,1,1
*,213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining,*,4312,Site preparation,"overburden removal for nonmetallic mining, performed on a contract or fee basis",4312,F4.0140,NAICS-213115,ISIC-4312,,1,1
,221111,Hydroelectric Power Generation,*,3510,"Electric power generation, transmission and distribution", ,3510,F4.0141,NAICS-221111,ISIC-3510,,1,1
,221112,Fossil Fuel Electric Power Generation,*,3510,"Electric power generation, transmission and distribution", ,3510,F4.0142,NAICS-221112,ISIC-3510,,1,1
,221113,Nuclear Electric Power Generation,*,3510,"Electric power generation, transmission and distribution", ,3510,F4.0143,NAICS-221113,ISIC-3510,,1,1
,221114,Solar Electric Power Generation,*,3510,"Electric power generation, transmission and distribution",,3510,F4.0144,NAICS-221114,ISIC-3510,,1,1
,221115,Wind Electric Power Generation,*,3510,"Electric power generation, transmission and distribution",,3510,F4.0145,NAICS-221115,ISIC-3510,,1,1
,221116,Geothermal Electric Power Generation,*,3510,"Electric power generation, transmission and distribution",,3510,F4.0146,NAICS-221116,ISIC-3510,,1,1
,221117,Biomass Electric Power Generation,*,3510,"Electric power generation, transmission and distribution",,3510,F4.0147,NAICS-221117,ISIC-3510,,1,1
,221118,Other Electric Power Generation,*,3510,"Electric power generation, transmission and distribution",,3510,F4.0148,NAICS-221118,ISIC-3510,,1,1
,221121,Electric Bulk Power Transmission and Control,*,3510,"Electric power generation, transmission and distribution", ,3510,F4.0149,NAICS-221121,ISIC-3510,,1,1
,221122,Electric Power Distribution,*,3510,"Electric power generation, transmission and distribution", ,3510,F4.0150,NAICS-221122,ISIC-3510,,1,1
,221210,Natural Gas Distribution,,3520,Manufacture of gas; distribution of gaseous fuels through mains, ,3520,F4.0151,NAICS-221210,ISIC-3520,,1,1
*,221310,Water Supply and Irrigation Systems,,3600,"Water collection, treatment and supply",except long distance water pipelines,3600,F4.0152,NAICS-221310,ISIC-3600,,1,1
*,221310,Water Supply and Irrigation Systems,*,4930,Transport via pipeline,water pipelines (long distance),4930,F4.0153,NAICS-221310,ISIC-4930,,1,1
,221320,Sewage Treatment Facilities,*,3700,Sewerage, ,3700,F4.0154,NAICS-221320,ISIC-3700,,1,1
,221330,Steam and Air-Conditioning Supply,*,3530,Steam and air conditioning supply, ,3530,F4.0155,NAICS-221330,ISIC-3530,,1,1
,236115,New Single-Family Housing Construction (except For-Sale Builders),*,4100,Construction of buildings, ,4100,F4.0156,NAICS-236115,ISIC-4100,,1,1
,236116,New Multifamily Housing Construction (except For-Sale Builders),*,4100,Construction of buildings, ,4100,F4.0157,NAICS-236116,ISIC-4100,,1,1
,236117,New Housing For-Sale Builders,*,4100,Construction of buildings, ,4100,F4.0158,NAICS-236117,ISIC-4100,,1,1
,236118,Residential Remodelers,*,4100,Construction of buildings, ,4100,F4.0159,NAICS-236118,ISIC-4100,,1,1
*,236210,Industrial Building Construction,*,4100,Construction of buildings,except chemical plant and industrial oven construction,4100,F4.0160,NAICS-236210,ISIC-4100,,1,1
*,236210,Industrial Building Construction,*,4290,Construction of other civil engineering projects,chemical plant construction,4290,F4.0161,NAICS-236210,ISIC-4290,,1,1
*,236210,Industrial Building Construction,*,4390,Other specialized construction activities,industrial oven construction,4390,F4.0162,NAICS-236210,ISIC-4390,,1,1
*,236220,Commercial and Institutional Building Construction,*,4100,Construction of buildings,except stadium construction,4100,F4.0163,NAICS-236220,ISIC-4100,,1,1
*,236220,Commercial and Institutional Building Construction,*,4290,Construction of other civil engineering projects,stadium construction,4290,F4.0164,NAICS-236220,ISIC-4290,,1,1
,237110,Water and Sewer Line and Related Structures Construction,*,4220,Construction of utility projects, ,4220,F4.0165,NAICS-237110,ISIC-4220,,1,1
*,237120,Oil and Gas Pipeline and Related Structures Construction,*,4220,Construction of utility projects,except refinery construction,4220,F4.0166,NAICS-237120,ISIC-4220,,1,1
*,237120,Oil and Gas Pipeline and Related Structures Construction,*,4290,Construction of other civil engineering projects,refinery construction,4290,F4.0167,NAICS-237120,ISIC-4290,,1,1
,237130,Power and Communication Line and Related Structures Construction,*,4220,Construction of utility projects, ,4220,F4.0168,NAICS-237130,ISIC-4220,,1,1
,237210,Land Subdivision ,*,4290,Construction of other civil engineering projects, ,4290,F4.0169,NAICS-237210,ISIC-4290,,1,1
*,237310,"Highway, Street, and Bridge Construction",*,4210,Construction of roads and railways,except traffic signaling and highway lighting installation contractors,4210,F4.0170,NAICS-237310,ISIC-4210,,1,1
*,237310,"Highway, Street, and Bridge Construction",*,4321,Electrical installation,traffic signaling and lighting installation contractors (if they are specialized in this activity only),4321,F4.0171,NAICS-237310,ISIC-4321,,1,1
*,237990,Other Heavy and Civil Engineering Construction,*,4210,Construction of roads and railways,"construction of tunnels, subways, and railroads",4210,F4.0172,NAICS-237990,ISIC-4210,,1,1
*,237990,Other Heavy and Civil Engineering Construction,*,4220,Construction of utility projects,construction of hydroelectric generating facilities,4220,F4.0173,NAICS-237990,ISIC-4220,,1,1
*,237990,Other Heavy and Civil Engineering Construction,*,4290,Construction of other civil engineering projects,"marine construction projects, ski lift construction, outdoor recreational facility construction including athletic fields, golf courses, playgrounds, tennis courts, and similar",4290,F4.0174,NAICS-237990,ISIC-4290,,1,1
*,237990,Other Heavy and Civil Engineering Construction,*,4312,Site preparation,"microtunneling (horizontal drilling to install cables, conduit, drains, and similar), drainage projects (such as urban storm water runoff control systems), soil stabilization using anchored earth procedures",4312,F4.0175,NAICS-237990,ISIC-4312,,1,1
,238110,Poured Concrete Foundation and Structure Contractors,*,4390,Other specialized construction activities, ,4390,F4.0176,NAICS-238110,ISIC-4390,,1,1
